User,Activity,"Log Date","Log Time"
Rizon,Repunte,"Rizon Repunte has logged out",2018-04-02,03:47:18
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,03:30:31
Rizon,Repunte,"Rizon Repunte has logged out",2018-04-02,03:25:15
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,03:23:08
Rizon,Repunte,"Rizon Repunte has logged out",2018-04-02,03:22:58
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,03:21:51
Rizon,Repunte,"Rizon Repunte has logged out",2018-04-02,03:20:14
Rizon,Repunte,"Rizon Repunte deleted the bill of LBC for the month of March, year 2018 along with the attachment with a filename of Bills.pdf",2018-04-02,02:51:42
Rizon,Repunte,"Rizon Repunte deleted the bill of LEYECO for the month of March, year 2018 along with the attachment with a filename of tracking-records.pdf",2018-04-02,02:51:36
Rizon,Repunte,"Rizon Repunte deleted the bill of JRS for the month of March, year 2018 along with the attachment with a filename of nbi.pdf",2018-04-02,02:41:59
Rizon,Repunte,"Rizon Repunte deleted the bill of Globe for the month of March, year 2018 along with the attachment with a filename of Sales Inventory - LNU-IGP Bookstore Sales and Inventory System.pdf",2018-04-02,02:41:52
Rizon,Repunte,"Rizon Repunte added a new bill with an attachment, Globe for the month of March year 2018",2018-04-02,02:38:28
Rizon,Repunte,"Rizon Repunte updated the bill of JRS for the month of March, year 2018 from unpaid to paid",2018-04-02,02:36:16
Rizon,Repunte,"Rizon Repunte updated the bill of JRS for the month of March, year 2018 from paid to unpaid",2018-04-02,02:36:02
Rizon,Repunte,"Rizon Repunte added a new bill with an attachment, JRS for the month of March year 2018",2018-04-02,02:35:49
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,02:20:05
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,11:56:37
Rizon,Repunte,"Rizon Repunte added a new bill with an attachment, LMWD for the month of March year 2018",2018-04-02,11:22:37
Rizon,Repunte,"Rizon Repunte deleted the bill of LMWD for the month of March, year 2018 along with the attachment with a filename of Bills.pdf",2018-04-02,11:21:46
Rizon,Repunte,"Rizon Repunte updated the bill of LEYECO for the month of March, year 2018 from unpaid to paid",2018-04-02,11:21:28
Rizon,Repunte,"Rizon Repunte just Logged in ",2018-04-02,06:37:22
Rizon,Repunte,"Rizon Repunte updated the bill of LEYECO for the month of March, year 2018 from unpaid to paid",2018-04-01,09:39:24
Rizon,Repunte,"Rizon Repunte added a new bill with an attachment, LEYECO for the month of March year 2018",2018-04-01,09:19:22
